promo,temp_c,rain_mm,humidity,staff_count,department,dept_note,date_time,checkouts,hour,day_of_week,is_weekend,hour_sin,hour_cos,is_promo,department_code,is_fresh_area,is_wet_weather,temp_c_scaled,checkouts_scaled,demand_category
,24.68,0.0,50.8,8,Bakery,bread and pastry,2022-03-01 00:00:00,60,0,1,0,0.0,1.0,0,0,1,0,0.47911158117398195,0.39568345323741005,High
,26.14,0.0,70.8,5,Produce,fresh fruit and veg,2022-03-01 01:00:00,34,1,1,0,0.25881904510252074,0.9659258262890683,0,4,1,0,0.5563194077207826,0.20863309352517986,Low
,22.88,0.0,57.9,8,Produce,fresh fruit and veg,2022-03-01 02:00:00,40,2,1,0,0.49999999999999994,0.8660254037844387,0,4,1,0,0.3839238498149127,0.2517985611510791,Medium
,26.17,0.0,49.1,9,General,mixed baskets,2022-03-01 03:00:00,44,3,1,0,0.7071067811865476,0.7071067811865476,0,3,0,0,0.5579058699101005,0.2805755395683453,Medium
,24.11,0.0,61.6,9,Produce,fresh fruit and veg,2022-03-01 04:00:00,30,4,1,0,0.8660254037844386,0.5000000000000001,0,4,1,0,0.44896879957694336,0.17985611510791366,Low
,27.36,0.0,63.5,10,Produce,fresh fruit and veg,2022-03-01 05:00:00,40,5,1,0,0.9659258262890683,0.25881904510252074,0,4,1,0,0.6208355367530406,0.2517985611510791,Medium
,28.12,1.97,56.5,11,General,mixed baskets,2022-03-01 06:00:00,39,6,1,0,1.0,6.123233995736766e-17,0,3,0,1,0.6610259122157588,0.2446043165467626,Low
,29.06,0.0,56.3,8,General,mixed baskets,2022-03-01 07:00:00,18,7,1,0,0.9659258262890683,-0.25881904510252063,0,3,0,0,0.7107350608143838,0.09352517985611511,Low
,24.33,0.0,74.3,11,General,mixed baskets,2022-03-01 08:00:00,52,8,1,0,0.8660254037844387,-0.4999999999999998,0,3,0,0,0.46060285563194064,0.3381294964028777,Medium
,21.35,0.0,55.3,6,Bakery,bread and pastry,2022-03-01 09:00:00,47,9,1,0,0.7071067811865476,-0.7071067811865475,0,0,1,0,0.30301427815970394,0.302158273381295,Medium
,20.51,0.0,57.7,10,General,mixed baskets,2022-03-01 10:00:00,87,10,1,0,0.49999999999999994,-0.8660254037844387,0,3,0,0,0.2585933368588049,0.5899280575539568,Peak
,23.99,0.0,79.1,6,General,mixed baskets,2022-03-01 11:00:00,92,11,1,0,0.258819045102521,-0.9659258262890682,0,3,0,0,0.442622950819672,0.6258992805755396,Peak
