promo,temp_c,rain_mm,humidity,staff_count,department,dept_note,date_time,checkouts
,24.68,0.0,50.8,8,Bakery,bread and pastry,2022-03-01 00:00:00,60
,26.14,0.0,70.8,5,Produce,fresh fruit and veg,2022-03-01 01:00:00,34
,22.88,0.0,57.9,8,Produce,fresh fruit and veg,2022-03-01 02:00:00,40
,26.17,0.0,49.1,9,General,mixed baskets,2022-03-01 03:00:00,44
,24.11,0.0,61.6,9,Produce,fresh fruit and veg,2022-03-01 04:00:00,30
,27.36,0.0,63.5,10,Produce,fresh fruit and veg,2022-03-01 05:00:00,40
,28.12,1.97,56.5,11,General,mixed baskets,2022-03-01 06:00:00,39
,29.06,0.0,56.3,8,General,mixed baskets,2022-03-01 07:00:00,18
,24.33,0.0,74.3,11,General,mixed baskets,2022-03-01 08:00:00,52
,21.35,0.0,55.3,6,Bakery,bread and pastry,2022-03-01 09:00:00,47
,20.51,0.0,57.7,10,General,mixed baskets,2022-03-01 10:00:00,87
,23.99,0.0,79.1,6,General,mixed baskets,2022-03-01 11:00:00,92
,-999.0,0.0,54.9,7,Bakery,bread and pastry,2022-03-01 12:00:00,101
,20.61,0.0,45.9,8,Frozen,frozen foods,2022-03-01 13:00:00,91
,23.85,4.42,60.9,11,Frozen,frozen foods,2022-03-01 14:00:00,37
,22.27,0.0,56.1,8,Bakery,bread and pastry,2022-03-01 15:00:00,22
,26.46,0.0,61.0,7,Frozen,frozen foods,2022-03-01 16:00:00,46
,29.58,0.0,48.2,8,General,mixed baskets,2022-03-01 17:00:00,76
,24.17,0.0,39.2,8,Dairy,milk and yogurt aisle,2022-03-01 18:00:00,78
,25.52,0.0,59.4,9,Bakery,bread and pastry,2022-03-01 19:00:00,56
,20.8,0.0,53.3,13,General,mixed baskets,2022-03-01 20:00:00,94
,25.19,0.0,51.1,9,Dairy,milk and yogurt aisle,2022-03-01 21:00:00,41
,22.99,0.0,48.1,7,Dairy,milk and yogurt aisle,2022-03-01 22:00:00,35
,22.0,0.0,63.6,7,Produce,fresh fruit and veg,2022-03-01 23:00:00,64
,20.16,0.0,53.7,6,General,mixed baskets,2022-03-02 00:00:00,39
,28.82,0.0,44.8,9,Produce,fresh fruit and veg,2022-03-02 01:00:00,22
,20.78,0.0,47.2,5,Produce,fresh fruit and veg,2022-03-02 02:00:00,35
,21.8,0.0,51.4,3,Produce,fresh fruit and veg,2022-03-02 03:00:00,12
,24.84,0.0,43.7,8,Produce,fresh fruit and veg,2022-03-02 04:00:00,52
,25.54,0.0,50.9,9,Dairy,milk and yogurt aisle,2022-03-02 05:00:00,35
,25.55,0.0,63.8,7,General,mixed baskets,2022-03-02 06:00:00,31
,25.1,0.21,62.1,6,Dairy,milk and yogurt aisle,2022-03-02 07:00:00,52
,22.59,0.0,62.7,10,General,mixed baskets,2022-03-02 08:00:00,20
,26.75,0.0,62.5,3,General,mixed baskets,2022-03-02 09:00:00,46
,25.31,0.0,56.1,10,General,mixed baskets,2022-03-02 10:00:00,70
,21.2,4.89,72.5,7,General,mixed baskets,2022-03-02 11:00:00,87
,28.84,10.02,71.6,7,General,mixed baskets,2022-03-02 12:00:00,80
,23.98,0.0,60.8,13,General,mixed baskets,2022-03-02 13:00:00,112
,27.21,0.0,59.8,12,Produce,fresh fruit and veg,2022-03-02 14:00:00,61
,21.2,0.0,56.8,7,Dairy,milk and yogurt aisle,2022-03-02 15:00:00,36
,-999.0,0.0,56.7,13,General,mixed baskets,2022-03-02 16:00:00,50
,23.41,0.0,46.6,6,Dairy,milk and yogurt aisle,2022-03-02 17:00:00,72
,23.11,0.0,51.3,7,General,mixed baskets,2022-03-02 18:00:00,81
,27.37,0.0,42.8,10,General,mixed baskets,2022-03-02 19:00:00,65
,20.78,8.89,77.9,8,Produce,fresh fruit and veg,2022-03-02 20:00:00,54
,25.26,4.76,67.3,4,General,mixed baskets,2022-03-02 21:00:00,18
,22.31,0.0,49.9,11,Produce,fresh fruit and veg,2022-03-02 22:00:00,44
,26.14,0.21,64.6,6,Dairy,milk and yogurt aisle,2022-03-02 23:00:00,66
,25.43,0.0,48.5,3,Dairy,milk and yogurt aisle,2022-03-03 00:00:00,43
,23.54,0.0,57.5,9,General,mixed baskets,2022-03-03 01:00:00,33
,30.47,0.0,56.5,7,Produce,fresh fruit and veg,2022-03-03 02:00:00,62
,24.8,0.0,53.6,3,Frozen,frozen foods,2022-03-03 03:00:00,42
,27.66,0.0,59.3,6,General,mixed baskets,2022-03-03 04:00:00,41
,21.6,0.0,58.0,4,Dairy,milk and yogurt aisle,2022-03-03 05:00:00,43
,24.61,0.0,52.0,10,General,mixed baskets,2022-03-03 06:00:00,38
,25.14,0.0,65.1,10,General,mixed baskets,2022-03-03 07:00:00,36
,25.27,0.0,53.9,4,Dairy,milk and yogurt aisle,2022-03-03 08:00:00,22
,24.06,0.0,59.8,4,Dairy,milk and yogurt aisle,2022-03-03 09:00:00,46
,22.85,0.0,47.0,13,Produce,fresh fruit and veg,2022-03-03 10:00:00,93
,17.19,0.0,47.9,12,Dairy,milk and yogurt aisle,2022-03-03 11:00:00,109
,23.51,0.0,56.3,10,Bakery,bread and pastry,2022-03-03 12:00:00,90
,22.63,0.0,72.9,12,General,mixed baskets,2022-03-03 13:00:00,72
,24.29,0.0,45.2,12,General,mixed baskets,2022-03-03 14:00:00,38
,27.08,0.0,45.8,12,Produce,fresh fruit and veg,2022-03-03 15:00:00,60
,30.48,0.0,49.1,12,General,mixed baskets,2022-03-03 16:00:00,35
,26.26,0.0,51.6,9,Frozen,frozen foods,2022-03-03 17:00:00,64
,27.48,0.0,55.5,9,Frozen,frozen foods,2022-03-03 18:00:00,60
,26.51,0.0,63.0,6,General,mixed baskets,2022-03-03 19:00:00,62
,26.76,0.0,53.7,12,Bakery,bread and pastry,2022-03-03 20:00:00,71
,26.42,3.11,68.9,10,Produce,fresh fruit and veg,2022-03-03 21:00:00,25
,24.29,0.0,55.2,5,Dairy,milk and yogurt aisle,2022-03-03 22:00:00,57
,24.14,0.0,50.6,6,General,mixed baskets,2022-03-03 23:00:00,36
,25.84,0.0,51.3,6,Frozen,frozen foods,2022-03-04 00:00:00,41
,29.52,0.0,58.8,10,Dairy,milk and yogurt aisle,2022-03-04 01:00:00,57
,26.98,0.0,56.5,7,Dairy,milk and yogurt aisle,2022-03-04 02:00:00,58
,29.05,0.0,65.3,4,Produce,fresh fruit and veg,2022-03-04 03:00:00,37
,21.79,2.18,63.1,3,General,mixed baskets,2022-03-04 04:00:00,43
,25.7,0.0,54.2,6,General,mixed baskets,2022-03-04 05:00:00,48
,26.03,0.0,46.3,9,Dairy,milk and yogurt aisle,2022-03-04 06:00:00,37
,26.34,0.0,49.2,10,Produce,fresh fruit and veg,2022-03-04 07:00:00,18
,21.6,0.97,60.9,10,General,mixed baskets,2022-03-04 08:00:00,47
,20.43,0.0,57.5,7,Dairy,milk and yogurt aisle,2022-03-04 09:00:00,50
,19.73,0.0,67.9,11,Frozen,frozen foods,2022-03-04 10:00:00,99
,24.04,0.0,50.3,12,Produce,fresh fruit and veg,2022-03-04 11:00:00,83
,30.91,0.0,60.1,10,Dairy,milk and yogurt aisle,2022-03-04 12:00:00,92
,25.59,0.0,54.6,9,Produce,fresh fruit and veg,2022-03-04 13:00:00,87
,22.02,0.0,39.2,5,Produce,fresh fruit and veg,2022-03-04 14:00:00,36
,25.9,0.0,46.2,5,General,mixed baskets,2022-03-04 15:00:00,55
,24.3,3.98,69.1,9,Produce,fresh fruit and veg,2022-03-04 16:00:00,58
,25.48,0.0,52.4,7,Produce,fresh fruit and veg,2022-03-04 17:00:00,83
,23.92,800.0,50.0,8,General,mixed baskets,2022-03-04 18:00:00,81
,21.82,650.0,63.7,7,Produce,fresh fruit and veg,2022-03-04 19:00:00,83
,23.73,0.0,53.5,11,Dairy,milk and yogurt aisle,2022-03-04 20:00:00,74
,26.84,0.0,57.4,6,Dairy,milk and yogurt aisle,2022-03-04 21:00:00,39
,25.82,0.0,61.1,3,General,mixed baskets,2022-03-04 22:00:00,31
,28.12,0.0,51.7,9,General,mixed baskets,2022-03-04 23:00:00,39
,22.45,0.0,60.2,8,General,mixed baskets,2022-03-05 00:00:00,87
,27.76,0.0,47.5,9,General,mixed baskets,2022-03-05 01:00:00,70
,25.29,0.0,45.3,7,General,mixed baskets,2022-03-05 02:00:00,55
,25.63,0.0,63.8,5,General,mixed baskets,2022-03-05 03:00:00,54
,28.27,0.0,65.3,6,Dairy,milk and yogurt aisle,2022-03-05 04:00:00,49
,24.83,0.0,60.8,9,Produce,fresh fruit and veg,2022-03-05 05:00:00,64
,25.8,0.0,49.4,4,Dairy,milk and yogurt aisle,2022-03-05 06:00:00,64
,26.77,0.0,52.6,10,Produce,fresh fruit and veg,2022-03-05 07:00:00,42
,26.79,0.0,48.0,9,Dairy,milk and yogurt aisle,2022-03-05 08:00:00,65
,27.21,0.0,48.0,9,Bakery,bread and pastry,2022-03-05 09:00:00,53
,28.41,0.0,56.2,11,Dairy,milk and yogurt aisle,2022-03-05 10:00:00,132
,26.51,0.0,51.5,5,Frozen,frozen foods,2022-03-05 11:00:00,116
,24.09,0.0,64.1,11,Bakery,bread and pastry,2022-03-05 12:00:00,135
,31.32,0.0,43.1,6,Frozen,frozen foods,2022-03-05 13:00:00,109
,25.12,0.0,51.1,7,Dairy,milk and yogurt aisle,2022-03-05 14:00:00,56
,26.15,0.0,45.7,12,General,mixed baskets,2022-03-05 15:00:00,63
,23.34,0.15,45.5,9,Bakery,bread and pastry,2022-03-05 16:00:00,72
