holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour,day_of_week,is_weekend,hour_sin,hour_cos,is_holiday,is_severe_weather,is_low_visibility,temp_scaled,rain_1h_scaled,clouds_all_scaled,congestion_category
,288.28,0.0,0.0,40,,,2012-10-02 09:00:00,5545,9,1,0,0.7071067811865476,-0.7071067811865475,0,0,0,0.673215356928614,0.0,0.4,Severe
,289.36,0.0,0.0,75,,,2012-10-02 10:00:00,4516,10,1,0,0.49999999999999994,-0.8660254037844387,0,0,0,0.689412117576485,0.0,0.75,High
,289.58,0.0,0.0,90,,,2012-10-02 11:00:00,4767,11,1,0,0.258819045102521,-0.9659258262890682,0,0,0,0.6927114577084582,0.0,0.9,High
,290.13,0.0,0.0,90,,,2012-10-02 12:00:00,5026,12,1,0,1.2246467991473532e-16,-1.0,0,0,0,0.7009598080383924,0.0,0.9,Severe
,291.14,0.0,0.0,75,,,2012-10-02 13:00:00,4918,13,1,0,-0.2588190451025208,-0.9659258262890683,0,0,0,0.7161067786442711,0.0,0.75,High
,291.72,0.0,0.0,1,,,2012-10-02 14:00:00,5181,14,1,0,-0.4999999999999997,-0.8660254037844388,0,0,0,0.724805038992202,0.0,0.01,Severe
,293.17,0.0,0.0,1,,,2012-10-02 15:00:00,5584,15,1,0,-0.7071067811865471,-0.7071067811865479,0,0,0,0.746550689862028,0.0,0.01,Severe
,293.86,0.0,0.0,1,,,2012-10-02 16:00:00,6015,16,1,0,-0.8660254037844385,-0.5000000000000004,0,0,0,0.7568986202759451,0.0,0.01,Severe
,294.14,0.0,0.0,20,,,2012-10-02 17:00:00,5791,17,1,0,-0.9659258262890683,-0.25881904510252063,0,0,0,0.7610977804439112,0.0,0.2,Severe
,293.1,0.0,0.0,20,,,2012-10-02 18:00:00,4770,18,1,0,-1.0,-1.8369701987210297e-16,0,0,0,0.7455008998200364,0.0,0.2,High
,290.97,0.0,0.0,20,,,2012-10-02 19:00:00,3539,19,1,0,-0.9659258262890684,0.2588190451025203,0,0,0,0.7135572885422921,0.0,0.2,High
,289.38,0.0,0.0,1,,,2012-10-02 20:00:00,2784,20,1,0,-0.8660254037844386,0.5000000000000001,0,0,0,0.6897120575884824,0.0,0.01,Medium
,288.61,0.0,0.0,1,,,2012-10-02 21:00:00,2361,21,1,0,-0.7071067811865477,0.7071067811865474,0,0,0,0.678164367126575,0.0,0.01,Medium
,287.16,0.0,0.0,1,,,2012-10-02 22:00:00,1529,22,1,0,-0.5000000000000004,0.8660254037844384,0,0,0,0.6564187162567492,0.0,0.01,Medium
,285.45,0.0,0.0,1,,,2012-10-02 23:00:00,963,23,1,0,-0.25881904510252157,0.9659258262890681,0,0,0,0.6307738452309538,0.0,0.01,Low
,284.63,0.0,0.0,1,,,2012-10-03 00:00:00,506,0,2,0,0.0,1.0,0,0,0,0.6184763047390522,0.0,0.01,Low
,283.47,0.0,0.0,1,,,2012-10-03 01:00:00,321,1,2,0,0.25881904510252074,0.9659258262890683,0,0,0,0.601079784043192,0.0,0.01,Low
,281.18,0.0,0.0,1,,,2012-10-03 02:00:00,273,2,2,0,0.49999999999999994,0.8660254037844387,0,0,0,0.5667366526694664,0.0,0.01,Low
,281.09,0.0,0.0,1,,,2012-10-03 03:00:00,367,3,2,0,0.7071067811865476,0.7071067811865476,0,0,0,0.5653869226154766,0.0,0.01,Low
,279.53,0.0,0.0,1,,,2012-10-03 04:00:00,814,4,2,0,0.8660254037844386,0.5000000000000001,0,0,0,0.5419916016796638,0.0,0.01,Low
,278.62,0.0,0.0,1,,,2012-10-03 05:00:00,2718,5,2,0,0.9659258262890683,0.25881904510252074,0,0,0,0.5283443311337734,0.0,0.01,Medium
,278.23,0.0,0.0,1,,,2012-10-03 06:00:00,5673,6,2,0,1.0,6.123233995736766e-17,0,0,0,0.5224955008998204,0.0,0.01,Severe
,278.12,0.0,0.0,1,,,2012-10-03 08:00:00,6511,8,2,0,0.8660254037844387,-0.4999999999999998,0,0,0,0.5208458308338334,0.0,0.01,Severe
,282.48,0.0,0.0,1,,,2012-10-03 09:00:00,5471,9,2,0,0.7071067811865476,-0.7071067811865475,0,0,0,0.5862327534493106,0.0,0.01,Severe
,291.97,0.0,0.0,1,,,2012-10-03 12:00:00,5097,12,2,0,1.2246467991473532e-16,-1.0,0,0,0,0.7285542891421721,0.0,0.01,Severe
,293.23,0.0,0.0,1,,,2012-10-03 13:00:00,4887,13,2,0,-0.2588190451025208,-0.9659258262890683,0,0,0,0.7474505098980208,0.0,0.01,High
,294.31,0.0,0.0,1,,,2012-10-03 14:00:00,5337,14,2,0,-0.4999999999999997,-0.8660254037844388,0,0,0,0.763647270545891,0.0,0.01,Severe
,295.17,0.0,0.0,1,,,2012-10-03 15:00:00,5692,15,2,0,-0.7071067811865471,-0.7071067811865479,0,0,0,0.776544691061788,0.0,0.01,Severe
,295.13,0.0,0.0,1,,,2012-10-03 16:00:00,6137,16,2,0,-0.8660254037844385,-0.5000000000000004,0,0,0,0.7759448110377924,0.0,0.01,Severe
,293.66,0.0,0.0,20,,,2012-10-03 18:00:00,4623,18,2,0,-1.0,-1.8369701987210297e-16,0,0,0,0.7538992201559693,0.0,0.2,High
,290.65,0.0,0.0,20,,,2012-10-03 19:00:00,3591,19,2,0,-0.9659258262890684,0.2588190451025203,0,0,0,0.7087582483503297,0.0,0.2,High
,288.19,0.0,0.0,20,,,2012-10-03 20:00:00,2898,20,2,0,-0.8660254037844386,0.5000000000000001,0,0,0,0.6718656268746251,0.0,0.2,Medium
,287.1,0.0,0.0,1,,,2012-10-03 21:00:00,2637,21,2,0,-0.7071067811865477,0.7071067811865474,0,0,0,0.6555188962207563,0.0,0.01,Medium
,286.25,0.0,0.0,1,,,2012-10-03 22:00:00,1777,22,2,0,-0.5000000000000004,0.8660254037844384,0,0,0,0.642771445710858,0.0,0.01,Medium
,285.26,0.0,0.0,1,,,2012-10-03 23:00:00,1015,23,2,0,-0.25881904510252157,0.9659258262890681,0,0,0,0.6279244151169766,0.0,0.01,Low
,284.55,0.0,0.0,1,,,2012-10-04 00:00:00,598,0,3,0,0.0,1.0,0,0,0,0.6172765446910621,0.0,0.01,Low
,283.47,0.0,0.0,1,,,2012-10-04 01:00:00,369,1,3,0,0.25881904510252074,0.9659258262890683,0,0,0,0.601079784043192,0.0,0.01,Low
,283.17,0.0,0.0,1,,,2012-10-04 02:00:00,312,2,3,0,0.49999999999999994,0.8660254037844387,0,0,0,0.5965806838632277,0.0,0.01,Low
,282.04,0.0,0.0,1,,,2012-10-04 03:00:00,367,3,3,0,0.7071067811865476,0.7071067811865476,0,0,0,0.5796340731853634,0.0,0.01,Low
,281.69,0.0,0.0,1,,,2012-10-04 04:00:00,835,4,3,0,0.8660254037844386,0.5000000000000001,0,0,0,0.574385122975405,0.0,0.01,Low
,281.32,0.0,0.0,1,,,2012-10-04 05:00:00,2726,5,3,0,0.9659258262890683,0.25881904510252074,0,0,0,0.5688362327534493,0.0,0.01,Medium
,280.74,0.0,0.0,1,,,2012-10-04 06:00:00,5689,6,3,0,1.0,6.123233995736766e-17,0,0,0,0.5601379724055192,0.0,0.01,Severe
,280.57,0.0,0.0,1,,,2012-10-04 07:00:00,6990,7,3,0,0.9659258262890683,-0.25881904510252063,0,0,0,0.5575884823035393,0.0,0.01,Severe
,281.86,0.0,0.0,1,,,2012-10-04 08:00:00,5985,8,3,0,0.8660254037844387,-0.4999999999999998,0,0,0,0.5769346130773849,0.0,0.01,Severe
,284.98,0.0,0.0,1,,,2012-10-04 09:00:00,5309,9,3,0,0.7071067811865476,-0.7071067811865475,0,0,0,0.6237252549490107,0.0,0.01,Severe
,289.18,0.0,0.0,1,,,2012-10-04 10:00:00,4603,10,3,0,0.49999999999999994,-0.8660254037844387,0,0,0,0.6867126574685065,0.0,0.01,High
,291.55,0.0,0.0,1,,,2012-10-04 11:00:00,4884,11,3,0,0.258819045102521,-0.9659258262890682,0,0,0,0.7222555488902223,0.0,0.01,High
,294.97,0.0,0.0,1,,,2012-10-04 12:00:00,5104,12,3,0,1.2246467991473532e-16,-1.0,0,0,0,0.7735452909418121,0.0,0.01,Severe
,296.38,0.0,0.0,1,,,2012-10-04 13:00:00,5178,13,3,0,-0.2588190451025208,-0.9659258262890683,0,0,0,0.7946910617876425,0.0,0.01,Severe
,297.32,0.0,0.0,1,,,2012-10-04 14:00:00,5501,14,3,0,-0.4999999999999997,-0.8660254037844388,0,0,0,0.8087882423515297,0.0,0.01,Severe
,298.17,0.0,0.0,1,,,2012-10-04 15:00:00,5713,15,3,0,-0.7071067811865471,-0.7071067811865479,0,0,0,0.821535692861428,0.0,0.01,Severe
,298.06,0.0,0.0,20,,,2012-10-04 16:00:00,6292,16,3,0,-0.8660254037844385,-0.5000000000000004,0,0,0,0.8198860227954411,0.0,0.2,Severe
,297.67,0.0,0.0,20,,,2012-10-04 17:00:00,6057,17,3,0,-0.9659258262890683,-0.25881904510252063,0,0,0,0.8140371925614881,0.0,0.2,Severe
,296.36,0.0,0.0,40,,,2012-10-04 18:00:00,4907,18,3,0,-1.0,-1.8369701987210297e-16,0,0,0,0.7943911217756452,0.0,0.4,High
,293.85,0.0,0.0,40,,,2012-10-04 19:00:00,3503,19,3,0,-0.9659258262890684,0.2588190451025203,0,0,0,0.7567486502699465,0.0,0.4,High
,292.43,0.0,0.0,40,,,2012-10-04 20:00:00,3037,20,3,0,-0.8660254037844386,0.5000000000000001,0,0,0,0.7354529094181166,0.0,0.4,Medium
,291.77,0.0,0.0,75,,,2012-10-04 21:00:00,2822,21,3,0,-0.7071067811865477,0.7071067811865474,0,0,0,0.7255548890221954,0.0,0.75,Medium
,291.36,0.0,0.0,75,,,2012-10-04 22:00:00,1992,22,3,0,-0.5000000000000004,0.8660254037844384,0,0,0,0.719406118776245,0.0,0.75,Medium
,291.12,0.0,0.0,75,,,2012-10-04 23:00:00,1166,23,3,0,-0.25881904510252157,0.9659258262890681,0,0,0,0.7158068386322738,0.0,0.75,Low
,290.63,0.0,0.0,75,,,2012-10-05 00:00:00,627,0,4,0,0.0,1.0,0,0,0,0.7084583083383323,0.0,0.75,Low
,290.46,0.0,0.0,40,,,2012-10-05 01:00:00,388,1,4,0,0.25881904510252074,0.9659258262890683,0,0,0,0.7059088182363525,0.0,0.4,Low
,289.26,0.0,0.0,0,,,2012-10-05 03:00:00,368,3,4,0,0.7071067811865476,0.7071067811865476,0,0,0,0.6879124175164967,0.0,0.0,Low
,283.21,0.0,0.0,75,,,2012-10-05 05:00:00,2489,5,4,0,0.9659258262890683,0.25881904510252074,0,0,0,0.5971805638872224,0.0,0.75,Medium
,282.24,0.0,0.0,90,,,2012-10-05 06:00:00,5537,6,4,0,1.0,6.123233995736766e-17,0,0,0,0.5826334733053392,0.0,0.9,Severe
,281.69,0.0,0.0,90,,,2012-10-05 07:00:00,6628,7,4,0,0.9659258262890683,-0.25881904510252063,0,0,0,0.574385122975405,0.0,0.9,Severe
,280.57,0.0,0.0,90,,,2012-10-05 08:00:00,5534,8,4,0,0.8660254037844387,-0.4999999999999998,0,0,0,0.5575884823035393,0.0,0.9,Severe
,280.02,0.0,0.0,75,,,2012-10-05 09:00:00,5403,9,4,0,0.7071067811865476,-0.7071067811865475,0,0,0,0.5493401319736052,0.0,0.75,Severe
,280.11,0.0,0.0,75,,,2012-10-05 10:00:00,4770,10,4,0,0.49999999999999994,-0.8660254037844387,0,0,0,0.5506898620275948,0.0,0.75,High
,280.0,0.0,0.0,90,,,2012-10-05 11:00:00,5217,11,4,0,0.258819045102521,-0.9659258262890682,0,0,0,0.5490401919616078,0.0,0.9,Severe
,280.53,0.0,0.0,90,,,2012-10-05 12:00:00,5870,12,4,0,1.2246467991473532e-16,-1.0,0,0,0,0.5569886022795438,0.0,0.9,Severe
,281.43,0.0,0.0,75,,,2012-10-05 13:00:00,5967,13,4,0,-0.2588190451025208,-0.9659258262890683,0,0,0,0.5704859028194363,0.0,0.75,Severe
,281.78,0.0,0.0,90,,,2012-10-05 14:00:00,6108,14,4,0,-0.4999999999999997,-0.8660254037844388,0,0,0,0.5757348530293939,0.0,0.9,Severe
,281.91,0.0,0.0,90,,,2012-10-05 15:00:00,6128,15,4,0,-0.7071067811865471,-0.7071067811865479,0,0,0,0.5776844631073791,0.0,0.9,Severe
,281.73,0.0,0.0,90,,,2012-10-05 16:00:00,6069,16,4,0,-0.8660254037844385,-0.5000000000000004,0,0,0,0.5749850029994006,0.0,0.9,Severe
,281.42,0.0,0.0,90,,,2012-10-05 17:00:00,6169,17,4,0,-0.9659258262890683,-0.25881904510252063,0,0,0,0.5703359328134378,0.0,0.9,Severe
,280.87,0.0,0.0,90,,,2012-10-05 18:00:00,5384,18,4,0,-1.0,-1.8369701987210297e-16,0,0,0,0.5620875824835035,0.0,0.9,Severe
,280.15,0.0,0.0,90,,,2012-10-05 19:00:00,4063,19,4,0,-0.9659258262890684,0.2588190451025203,0,0,0,0.5512897420515895,0.0,0.9,High
,279.78,0.0,0.0,90,,,2012-10-05 20:00:00,3364,20,4,0,-0.8660254037844386,0.5000000000000001,0,0,0,0.5457408518296338,0.0,0.9,Medium
,279.65,0.0,0.0,75,,,2012-10-05 21:00:00,2971,21,4,0,-0.7071067811865477,0.7071067811865474,0,0,0,0.5437912417516495,0.0,0.75,Medium
,279.22,0.0,0.0,40,,,2012-10-05 22:00:00,2450,22,4,0,-0.5000000000000004,0.8660254037844384,0,0,0,0.5373425314937018,0.0,0.4,Medium
,279.06,0.0,0.0,40,,,2012-10-05 23:00:00,1832,23,4,0,-0.25881904510252157,0.9659258262890681,0,0,0,0.5349430113977206,0.0,0.4,Medium
,278.81,0.0,0.0,90,,,2012-10-06 00:00:00,1231,0,5,1,0.0,1.0,0,0,0,0.5311937612477506,0.0,0.9,Low
,278.55,0.0,0.0,90,,,2012-10-06 01:00:00,718,1,5,1,0.25881904510252074,0.9659258262890683,0,0,0,0.527294541091782,0.0,0.9,Low
,278.59,0.0,0.0,90,,,2012-10-06 02:00:00,545,2,5,1,0.49999999999999994,0.8660254037844387,0,0,0,0.5278944211157767,0.0,0.9,Low
,276.99,0.0,0.0,75,,,2012-10-06 04:00:00,411,4,5,1,0.8660254037844386,0.5000000000000001,0,0,0,0.5038992201559691,0.0,0.75,Low
,276.35,0.0,0.0,20,,,2012-10-06 05:00:00,688,5,5,1,0.9659258262890683,0.25881904510252074,0,0,0,0.4943011397720461,0.0,0.2,Low
,275.4,0.0,0.0,1,,,2012-10-06 06:00:00,1352,6,5,1,1.0,6.123233995736766e-17,0,0,0,0.48005398920215936,0.0,0.01,Medium
,275.17,0.0,0.0,1,,,2012-10-06 07:00:00,2072,7,5,1,0.9659258262890683,-0.25881904510252063,0,0,0,0.4766046790641876,0.0,0.01,Medium
,274.99,0.0,0.0,1,,,2012-10-06 08:00:00,3342,8,5,1,0.8660254037844387,-0.4999999999999998,0,0,0,0.4739052189562091,0.0,0.01,Medium
,275.09,0.0,0.0,40,,,2012-10-06 09:00:00,4258,9,5,1,0.7071067811865476,-0.7071067811865475,0,0,0,0.4754049190161965,0.0,0.4,High
,276.88,0.0,0.0,20,,,2012-10-06 10:00:00,4861,10,5,1,0.49999999999999994,-0.8660254037844387,0,0,0,0.5022495500899821,0.0,0.2,High
,278.04,0.0,0.0,20,,,2012-10-06 11:00:00,5191,11,5,1,0.258819045102521,-0.9659258262890682,0,0,0,0.5196460707858432,0.0,0.2,Severe
,279.08,0.0,0.0,40,,,2012-10-06 12:00:00,5669,12,5,1,1.2246467991473532e-16,-1.0,0,0,0,0.535242951409718,0.0,0.4,Severe
,280.12,0.0,0.0,75,,,2012-10-06 13:00:00,5074,13,5,1,-0.2588190451025208,-0.9659258262890683,0,0,0,0.5508398320335935,0.0,0.75,Severe
,280.25,0.0,0.0,75,,,2012-10-06 14:00:00,5025,14,5,1,-0.4999999999999997,-0.8660254037844388,0,0,0,0.5527894421115779,0.0,0.75,Severe
,280.0,0.0,0.0,75,,,2012-10-06 15:00:00,5153,15,5,1,-0.7071067811865471,-0.7071067811865479,0,0,0,0.5490401919616078,0.0,0.75,Severe
,279.06,0.0,0.0,90,,,2012-10-06 16:00:00,5024,16,5,1,-0.8660254037844385,-0.5000000000000004,0,0,0,0.5349430113977206,0.0,0.9,Severe
,278.91,0.0,0.0,90,,,2012-10-06 17:00:00,4779,17,5,1,-0.9659258262890683,-0.25881904510252063,0,0,0,0.532693461307739,0.0,0.9,High
,278.39,0.0,0.0,90,,,2012-10-06 18:00:00,4362,18,5,1,-1.0,-1.8369701987210297e-16,0,0,0,0.5248950209958008,0.0,0.9,High
,278.16,0.0,0.0,90,,,2012-10-06 19:00:00,3860,19,5,1,-0.9659258262890684,0.2588190451025203,0,0,0,0.521445710857829,0.0,0.9,High
,278.16,0.0,0.0,90,,,2012-10-06 20:00:00,3160,20,5,1,-0.8660254037844386,0.5000000000000001,0,0,0,0.521445710857829,0.0,0.9,Medium
,277.93,0.0,0.0,90,,,2012-10-06 21:00:00,2992,21,5,1,-0.7071067811865477,0.7071067811865474,0,0,0,0.5179964007198563,0.0,0.9,Medium
,276.9,0.0,0.0,90,,,2012-10-06 22:00:00,3202,22,5,1,-0.5000000000000004,0.8660254037844384,0,0,0,0.5025494901019795,0.0,0.9,Medium
,276.34,0.0,0.0,75,,,2012-10-06 23:00:00,1941,23,5,1,-0.25881904510252157,0.9659258262890681,0,0,0,0.49415116976604656,0.0,0.75,Medium
,276.11,0.0,0.0,75,,,2012-10-07 00:00:00,1233,0,6,1,0.0,1.0,0,0,0,0.4907018596280747,0.0,0.75,Low
,275.73,0.0,0.0,90,,,2012-10-07 03:00:00,323,3,6,1,0.7071067811865476,0.7071067811865476,0,0,0,0.4850029994001204,0.0,0.9,Low
,275.65,0.0,0.0,90,,,2012-10-07 04:00:00,312,4,6,1,0.8660254037844386,0.5000000000000001,0,0,0,0.4838032393521294,0.0,0.9,Low
,275.51,0.0,0.0,75,,,2012-10-07 05:00:00,627,5,6,1,0.9659258262890683,0.25881904510252074,0,0,0,0.4817036592681464,0.0,0.75,Low
,275.05,0.0,0.0,90,,,2012-10-07 06:00:00,1508,6,6,1,1.0,6.123233995736766e-17,0,0,0,0.4748050389922019,0.0,0.9,Medium
,274.77,0.0,0.0,90,,,2012-10-07 07:00:00,1539,7,6,1,0.9659258262890683,-0.25881904510252063,0,0,0,0.47060587882423505,0.0,0.9,Medium
,274.77,0.0,0.0,75,,,2012-10-07 08:00:00,2232,8,6,1,0.8660254037844387,-0.4999999999999998,0,0,0,0.47060587882423505,0.0,0.75,Medium
,275.55,0.0,0.0,75,,,2012-10-07 09:00:00,4568,9,6,1,0.7071067811865476,-0.7071067811865475,0,0,0,0.4823035392921419,0.0,0.75,High
,276.24,0.0,0.0,75,,,2012-10-07 10:00:00,4624,10,6,1,0.49999999999999994,-0.8660254037844387,0,0,0,0.49265146970605905,0.0,0.75,High
,277.01,0.0,0.0,90,,,2012-10-07 11:00:00,4529,11,6,1,0.258819045102521,-0.9659258262890682,0,0,0,0.5041991601679664,0.0,0.9,High
,277.43,0.0,0.0,90,,,2012-10-07 12:00:00,5139,12,6,1,1.2246467991473532e-16,-1.0,0,0,0,0.5104979004199163,0.0,0.9,Severe
,278.45,0.0,0.0,90,,,2012-10-07 13:00:00,6640,13,6,1,-0.2588190451025208,-0.9659258262890683,0,0,0,0.5257948410317936,0.0,0.9,Severe
,279.27,0.0,0.0,90,,,2012-10-07 14:00:00,6589,14,6,1,-0.4999999999999997,-0.8660254037844388,0,0,0,0.5380923815236951,0.0,0.9,Severe
,279.27,0.0,0.0,90,,,2012-10-07 15:00:00,4429,15,6,1,-0.7071067811865471,-0.7071067811865479,0,0,0,0.5380923815236951,0.0,0.9,High
,279.44,0.0,0.0,90,,,2012-10-07 16:00:00,4329,16,6,1,-0.8660254037844385,-0.5000000000000004,0,0,0,0.540641871625675,0.0,0.9,High
,279.32,0.0,0.0,90,,,2012-10-07 17:00:00,3833,17,6,1,-0.9659258262890683,-0.25881904510252063,0,0,0,0.5388422315536893,0.0,0.9,High
,279.27,0.0,0.0,90,,,2012-10-07 18:00:00,4015,18,6,1,-1.0,-1.8369701987210297e-16,0,0,0,0.5380923815236951,0.0,0.9,High
,278.11,0.0,0.0,90,,,2012-10-07 19:00:00,3382,19,6,1,-0.9659258262890684,0.2588190451025203,0,0,0,0.5206958608278348,0.0,0.9,Medium
,276.79,0.0,0.0,75,,,2012-10-07 20:00:00,2815,20,6,1,-0.8660254037844386,0.5000000000000001,0,0,0,0.5008998200359933,0.0,0.75,Medium
,275.73,0.0,0.0,90,,,2012-10-07 21:00:00,2110,21,6,1,-0.7071067811865477,0.7071067811865474,0,0,0,0.4850029994001204,0.0,0.9,Medium
,274.88,0.0,0.0,75,,,2012-10-07 22:00:00,1555,22,6,1,-0.5000000000000004,0.8660254037844384,0,0,0,0.47225554889022203,0.0,0.75,Medium
,273.92,0.0,0.0,20,,,2012-10-07 23:00:00,959,23,6,1,-0.25881904510252157,0.9659258262890681,0,0,0,0.45785842831433754,0.0,0.2,Low
Columbus Day,273.08,0.0,0.0,20,Columbus Day,Columbus Day,2012-10-08 00:00:00,455,0,0,0,0.0,1.0,1,0,0,0.44526094781043785,0.0,0.2,Low
,272.62,0.0,0.0,20,,,2012-10-08 01:00:00,336,1,0,0,0.25881904510252074,0.9659258262890683,0,0,0,0.43836232753449333,0.0,0.2,Low
,271.78,0.0,0.0,1,,,2012-10-08 02:00:00,265,2,0,0,0.49999999999999994,0.8660254037844387,0,0,0,0.42576484703059364,0.0,0.01,Low
,271.05,0.0,0.0,1,,,2012-10-08 03:00:00,314,3,0,0,0.7071067811865476,0.7071067811865476,0,0,0,0.4148170365926818,0.0,0.01,Low
,270.63,0.0,0.0,1,,,2012-10-08 04:00:00,779,4,0,0,0.8660254037844386,0.5000000000000001,0,0,0,0.40851829634073195,0.0,0.01,Low
,270.33,0.0,0.0,1,,,2012-10-08 05:00:00,2571,5,0,0,0.9659258262890683,0.25881904510252074,0,0,0,0.40401919616076776,0.0,0.01,Medium
,269.61,0.0,0.0,20,,,2012-10-08 06:00:00,5563,6,0,0,1.0,6.123233995736766e-17,0,0,0,0.3932213557288546,0.0,0.2,Severe
,270.01,0.0,0.0,20,,,2012-10-08 07:00:00,6676,7,0,0,0.9659258262890683,-0.25881904510252063,0,0,0,0.3992201559688063,0.0,0.2,Severe
,271.23,0.0,0.0,20,,,2012-10-08 08:00:00,5966,8,0,0,0.8660254037844387,-0.4999999999999998,0,0,0,0.4175164967006603,0.0,0.2,Severe
