transaction_id,customer_id,age,account_age_days,credit_limit,merchant_category,channel,device_type,payment_method,country,amount,hour,day_of_week,is_weekend,distance_from_home_km,distance_from_last_txn_km,num_txn_last_24h,num_txn_last_7d,avg_txn_amount_30d,ratio_to_avg_amount,time_since_last_txn_min,is_international,online_order,used_chip,used_pin,high_risk_merchant,is_fraud
TXN00001,1102,58,874,15000,fuel,online,ios,chip,SG,38.15,16,4,0,8.94,7.84,1,10,53.62,0.711,163.9,1,1,1,0,0,0
TXN00002,1435,35,3301,10000,fuel,pos,desktop,contactless,IN,45.2,13,1,0,4.53,10.54,4,13,65.61,0.689,76.4,0,0,0,1,0,0
TXN00003,1860,18,3606,15000,restaurant,pos,android,card_not_present,GB,50.89,6,5,1,13.58,53.77,1,8,53.37,0.954,83.6,1,0,0,1,0,0
TXN00004,1270,60,116,15000,fuel,pos,ios,contactless,US,91.81,21,0,0,1.75,11.06,1,7,63.63,1.443,208.3,1,0,0,1,0,0
TXN00005,1106,40,2120,25000,online_retail,pos,android,chip,SG,70.34,18,5,1,1.84,18.48,5,11,36.25,1.94,69.5,1,0,1,1,0,0
TXN00006,1071,59,3486,15000,fuel,pos,ios,card_not_present,IN,22.53,0,4,0,8.3,15.56,3,9,32.49,0.693,147.4,0,0,0,1,0,0
TXN00007,1700,19,3536,10000,online_retail,pos,desktop,card_not_present,SG,71.74,19,3,0,14.97,14.51,1,6,36.96,1.941,58.9,1,0,0,1,0,0
TXN00008,1020,33,437,15000,restaurant,online,ios,chip,IN,82.32,14,1,0,5.11,15.12,1,7,34.23,2.405,32.7,0,1,1,0,0,0
TXN00009,1614,42,3584,10000,restaurant,online,desktop,chip,IN,116.01,17,0,0,10.38,7.27,1,8,111.75,1.038,109.1,0,1,1,0,0,0
TXN00010,1121,42,2741,10000,restaurant,pos,ios,card_not_present,SG,64.18,2,5,1,58.46,7.71,0,8,81.99,0.783,44.1,1,0,0,0,0,1
TXN00011,1466,35,3118,25000,fuel,atm,android,card_not_present,IN,26.5,17,4,0,37.06,7.57,3,8,25.15,1.054,411.8,0,0,0,0,0,0
TXN00012,1214,50,1698,10000,grocery,pos,pos_terminal,card_not_present,SG,35.99,1,5,1,10.91,0.41,3,7,16.62,2.165,65.1,1,0,0,0,0,0
TXN00013,1330,27,177,25000,restaurant,online,android,card_not_present,IN,71.42,9,1,0,10.76,3.31,2,11,87.71,0.814,163.8,0,1,0,1,0,0
TXN00014,1458,40,2354,25000,electronics,pos,android,contactless,IN,402.57,10,1,0,2.28,2.01,3,7,471.33,0.854,55.0,0,0,0,1,1,0
TXN00015,1087,43,261,25000,travel,pos,ios,contactless,IN,528.66,23,3,0,14.34,26.11,4,10,643.82,0.821,53.7,0,0,0,0,1,0
TXN00016,1372,49,1980,50000,grocery,online,android,chip,OTHER,39.18,2,0,0,4.15,3.86,2,5,25.6,1.53,77.7,1,1,1,0,0,0
TXN00017,1099,51,395,10000,fuel,online,android,chip,SG,1791.85,23,2,0,35.016139306535806,1.79,4,11,130.35,2.246,445.6,1,1,1,0,0,1
