holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour,day_of_week,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,is_holiday,is_severe_weather,is_low_visibility,temp_scaled,clouds_scaled,congestion_category,high_risk
None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,9,1,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0,0,0,0,0.5522869025177997,0.4,Severe,0
None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,10,1,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0,0,0,0,0.6372580946491192,0.75,High,0
None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,11,1,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0,0,0,0,0.654567041194385,0.9,High,0
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,12,1,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,0,0,0,0.6978394075575564,0.9,Severe,0
None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,13,1,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0,0,0,0,0.7773032076062867,0.75,High,0
None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,14,1,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,0,0,0.8229358848619968,0.01,Severe,0
None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,15,1,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0,0,0,0,0.9370175780012633,0.01,Severe,0
None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,16,1,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,0,0,0.991304728529604,0.01,Severe,0
None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,17,1,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0,0,0,0,1.0133342968599433,0.2,Severe,0
None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,18,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,0,0,0,0.9315101859186785,0.2,High,0
None,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,19,1,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0,0,0,0,0.7639281125485826,0.2,High,0
None,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,20,1,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0,0,0.6388316352441422,0.01,Medium,0
None,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,21,1,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0,0,0,0,0.5782503223357051,0.01,Medium,0
None,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,22,1,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0,0,0,0,0.46416862919643864,0.01,Medium,0
None,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,23,1,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0,0,0,0,0.32963090832185155,0.01,Low,0
None,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,0,2,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.2651157439258526,0.01,Low,0
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,1,2,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.17385038941444123,0.01,Low,0
None,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,2,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,0,0,0,-0.006320008715851568,0.01,Low,0
None,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,3,2,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0,0,0,0,-0.01340094139346377,0.01,Low,0
None,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,4,2,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,0,0,-0.13613710780536536,0.01,Low,0
None,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,5,2,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0,0,0,0,-0.207733204878972,0.01,Medium,0
None,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,6,2,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,0,0,0,-0.23841724648194632,0.01,Severe,0
None,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,8,2,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0,0,0,0,-0.24707171975458145,0.01,Severe,0
None,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,9,2,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.09596012996073384,0.01,Severe,0
None,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,12,2,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.8426051422998015,0.01,Severe,0
None,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,13,2,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.9417381997863365,0.01,High,0
None,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337,14,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,0,0,1.0267093919176518,0.01,Severe,0
None,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692,15,2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0,0,0,0,1.094371637503701,0.01,Severe,0
None,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137,16,2,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,0,0,0,1.0912245563136507,0.01,Severe,0
None,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623,18,2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.9755693225793612,0.2,High,0
None,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591,19,2,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0,0,0,0,0.7387514630281887,0.2,High,0
